product_id,sku,product_name,category,subcategory,brand,price,cost,stock_quantity,avg_rating,num_reviews,launch_date,weight,is_eco_friendly,is_ai_enabled,is_bestseller,created_at,updated_at
PROD-2025-000001,REI-SPO-0001,REI Fitness Classic 2025,Sports,Fitness,REI,198.31,155.98,333,4.5,16,2025-01-11,4.98,True,False,False,2025-01-01,2025-01-11
PROD-2025-000002,UND-SPO-0002,Under Armour Fitness Advanced 2025,Sports,Fitness,Under Armour,1243.7,859.45,154,4.3,23,2025-01-04,7.72,False,False,False,2025-01-01,2025-01-04
PROD-2025-000003,MIC-ELE-0003,Microsoft Headphones Max 2025,Electronics,Headphones,Microsoft,62.84,45.38,486,3.88,48,2025-10-26,1.32,False,True,False,2025-01-01,2025-10-26
PROD-2025-000004,SCH-BOO-0004,Scholastic Fiction Pro 2025,Books,Fiction,Scholastic,59.99,39.33,62,3.77,30,2025-11-22,0.24,False,False,False,2025-01-01,2025-11-22
PROD-2025-000005,NIK-SPO-0005,Nike Water Sports Premium 2025,Sports,Water Sports,Nike,438.35,308.0,194,4.25,0,2025-11-03,7.64,True,False,False,2025-01-01,2025-11-03
PROD-2025-000006,SAM-ELE-0006,Samsung Gaming Advanced 2025,Electronics,Gaming,Samsung,2942.97,2312.64,147,4.21,127,2025-03-03,8.98,True,False,False,2025-01-01,2025-03-03
PROD-2025-000007,APP-ELE-0007,Apple Smart Home Premium 2025,Electronics,Smart Home,Apple,1583.35,1037.63,288,5.0,137,2025-07-16,3.19,False,False,True,2025-01-01,2025-07-16
PROD-2025-000008,HP-ELE-0008,HP Smartphones Ultra 2025,Electronics,Smartphones,HP,302.31,239.37,371,5.0,60,2025-07-13,2.71,False,False,False,2025-01-01,2025-07-13
PROD-2025-000009,UND-SPO-0009,Under Armour Individual Sports Classic 2025,Sports,Individual Sports,Under Armour,861.9,687.01,212,4.41,60,2025-02-05,6.57,True,False,False,2025-01-01,2025-02-05
PROD-2025-000010,REI-SPO-0010,REI Outdoor Smart 2025,Sports,Outdoor,REI,508.36,378.2,191,5.0,81,2025-03-21,1.06,False,False,False,2025-01-01,2025-03-21
PROD-2025-000011,PAT-SPO-0011,Patagonia Individual Sports Max 2025,Sports,Individual Sports,Patagonia,1056.47,684.33,437,4.74,54,2025-01-30,2.43,True,False,False,2025-01-01,2025-01-30
PROD-2025-000012,REI-SPO-0012,REI Individual Sports Pro 2025,Sports,Individual Sports,REI,471.24,295.53,146,4.42,55,2025-09-03,1.53,True,False,False,2025-01-01,2025-09-03
PROD-2025-000013,UND-SPO-0013,Under Armour Outdoor Premium 2025,Sports,Outdoor,Under Armour,63.92,47.0,363,3.48,30,2025-10-21,2.79,False,False,False,2025-01-01,2025-10-21
PROD-2025-000014,ADI-SPO-0014,Adidas Team Sports Elite 2025,Sports,Team Sports,Adidas,915.09,600.26,140,4.07,53,2025-07-16,1.1,True,False,False,2025-01-01,2025-07-16
PROD-2025-000015,IKE-HOM-0015,IKEA Kitchen Ultra 2025,Home & Garden,Kitchen,IKEA,1576.59,985.46,455,4.32,131,2025-07-03,6.25,False,False,False,2025-01-01,2025-07-03
PROD-2025-000016,CB2-HOM-0016,CB2 Garden Ultra 2025,Home & Garden,Garden,CB2,624.75,398.48,295,3.66,49,2025-07-09,0.96,False,False,False,2025-01-01,2025-07-09
PROD-2025-000017,SEP-HEA-0017,Sephora Wellness Ultra 2025,Health & Beauty,Wellness,Sephora,197.03,123.19,222,4.03,39,2025-06-12,1.31,False,False,False,2025-01-01,2025-06-12
PROD-2025-000018,MAR-BOO-0018,Marvel Educational Premium 2025,Books,Educational,Marvel,60.84,42.47,109,3.8,90,2025-06-11,3.56,False,False,False,2025-01-01,2025-06-11
PROD-2025-000019,GOO-ELE-0019,Google Smart Home Advanced 2025,Electronics,Smart Home,Google,3052.27,2280.53,179,5.0,82,2025-07-08,2.68,False,False,False,2025-01-01,2025-07-08
PROD-2025-000020,ADI-FAS-0020,Adidas Shoes Classic 2025,Fashion,Shoes,Adidas,177.18,108.5,442,4.72,218,2025-12-06,0.45,True,False,True,2025-01-01,2025-12-06
PROD-2025-000021,GUC-FAS-0021,Gucci Accessories Pro 2025,Fashion,Accessories,Gucci,528.54,322.06,405,3.86,10,2025-03-04,8.52,False,False,False,2025-01-01,2025-03-04
PROD-2025-000022,RAN-BOO-0022,Random House Non-Fiction Ultra 2025,Books,Non-Fiction,Random House,56.31,40.55,188,4.16,147,2025-04-16,7.74,True,False,False,2025-01-01,2025-04-16
PROD-2025-000023,ZAR-FAS-0023,Zara Watches Elite 2025,Fashion,Watches,Zara,537.94,373.15,160,4.18,42,2025-11-30,1.62,False,False,False,2025-01-01,2025-11-30
PROD-2025-000024,PRA-FAS-0024,Prada Watches Smart 2025,Fashion,Watches,Prada,401.79,293.87,433,5.0,33,2025-08-14,6.38,True,False,False,2025-01-01,2025-08-14
PROD-2025-000025,ADI-FAS-0025,Adidas Bags Classic 2025,Fashion,Bags,Adidas,741.31,518.88,321,3.93,47,2025-12-29,0.75,True,False,False,2025-01-01,2025-12-29
PROD-2025-000026,SAM-ELE-0026,Samsung Smart Home Premium 2025,Electronics,Smart Home,Samsung,725.57,566.65,30,5.0,25,2025-07-23,4.27,False,False,False,2025-01-01,2025-07-23
PROD-2025-000027,SEP-HEA-0027,Sephora Wellness Premium 2025,Health & Beauty,Wellness,Sephora,203.49,159.8,475,4.73,43,2025-07-18,7.76,False,False,False,2025-01-01,2025-07-18
PROD-2025-000028,LOW-HOM-0028,Lowes Tools Smart 2025,Home & Garden,Tools,Lowes,664.16,445.98,442,5.0,242,2025-07-25,9.91,False,False,True,2025-01-01,2025-07-25
PROD-2025-000029,HAR-BOO-0029,HarperCollins Educational Max 2025,Books,Educational,HarperCollins,29.16,21.68,16,4.33,32,2025-10-07,4.15,True,False,False,2025-01-01,2025-10-07
PROD-2025-000030,PRA-FAS-0030,Prada Accessories Classic 2025,Fashion,Accessories,Prada,777.55,579.6,158,4.11,92,2025-01-30,4.75,False,False,False,2025-01-01,2025-01-30
PROD-2025-000031,PAT-SPO-0031,Patagonia Water Sports Smart 2025,Sports,Water Sports,Patagonia,267.63,209.6,47,5.0,45,2025-12-29,2.67,False,False,False,2025-01-01,2025-12-29
PROD-2025-000032,SEP-HEA-0032,Sephora Makeup Ultra 2025,Health & Beauty,Makeup,Sephora,98.74,63.88,150,4.15,30,2025-09-27,3.08,False,False,False,2025-01-01,2025-09-27
PROD-2025-000033,SAM-ELE-0033,Samsung Tablets Ultra 2025,Electronics,Tablets,Samsung,1227.56,878.43,57,4.55,125,2025-01-28,5.47,False,False,True,2025-01-01,2025-01-28
PROD-2025-000034,NIK-SPO-0034,Nike Fitness Ultra 2025,Sports,Fitness,Nike,1194.57,882.49,322,4.71,56,2025-09-09,2.15,False,False,False,2025-01-01,2025-09-09
PROD-2025-000035,NIK-SPO-0035,Nike Fitness Max 2025,Sports,Fitness,Nike,1268.11,832.51,436,4.12,40,2025-05-22,5.32,True,False,False,2025-01-01,2025-05-22
PROD-2025-000036,UND-SPO-0036,Under Armour Water Sports Elite 2025,Sports,Water Sports,Under Armour,442.02,330.97,430,4.31,200,2025-08-02,7.64,False,False,False,2025-01-01,2025-08-02
PROD-2025-000037,CB2-HOM-0037,CB2 Garden Premium 2025,Home & Garden,Garden,CB2,1589.37,1086.23,423,5.0,60,2025-06-11,1.42,False,False,False,2025-01-01,2025-06-11
PROD-2025-000038,SEP-HEA-0038,Sephora Personal Care Advanced 2025,Health & Beauty,Personal Care,Sephora,76.29,46.22,133,4.14,4,2025-05-23,9.59,True,False,False,2025-01-01,2025-05-23
PROD-2025-000039,CB2-HOM-0039,CB2 Garden Smart 2025,Home & Garden,Garden,CB2,1355.59,997.59,447,5.0,47,2025-11-19,2.12,False,False,False,2025-01-01,2025-11-19
PROD-2025-000040,LOW-HOM-0040,Lowes Lighting Pro 2025,Home & Garden,Lighting,Lowes,501.95,339.7,221,4.03,39,2025-09-21,6.73,False,False,False,2025-01-01,2025-09-21
PROD-2025-000041,PAT-SPO-0041,Patagonia Water Sports Ultra 2025,Sports,Water Sports,Patagonia,87.94,57.71,299,4.07,65,2025-02-14,5.94,False,False,False,2025-01-01,2025-02-14
PROD-2025-000042,ULT-HEA-0042,Ulta Skincare Advanced 2025,Health & Beauty,Skincare,Ulta,211.64,153.4,20,4.38,11,2025-03-28,4.77,False,False,False,2025-01-01,2025-03-28
PROD-2025-000043,IKE-HOM-0043,IKEA Lighting Max 2025,Home & Garden,Lighting,IKEA,748.97,577.49,30,3.97,29,2025-06-06,2.3,True,False,False,2025-01-01,2025-06-06
PROD-2025-000044,IKE-HOM-0044,IKEA Furniture Advanced 2025,Home & Garden,Furniture,IKEA,1342.73,1032.53,115,4.16,112,2025-10-13,6.48,False,False,False,2025-01-01,2025-10-13
PROD-2025-000045,CB2-HOM-0045,CB2 Furniture Max 2025,Home & Garden,Furniture,CB2,601.59,400.26,463,3.49,71,2025-04-03,0.32,False,False,False,2025-01-01,2025-04-03
PROD-2025-000046,IKE-HOM-0046,IKEA Garden Ultra 2025,Home & Garden,Garden,IKEA,1116.97,827.18,148,3.97,55,2025-08-04,8.74,False,False,False,2025-01-01,2025-08-04
PROD-2025-000047,PEN-BOO-0047,Penguin Educational Smart 2025,Books,Educational,Penguin,41.6,30.37,33,5.0,12,2025-04-25,6.38,False,False,False,2025-01-01,2025-04-25
PROD-2025-000048,MIC-ELE-0048,Microsoft Gaming Pro 2025,Electronics,Gaming,Microsoft,145.14,87.59,264,3.92,6,2025-11-17,5.53,True,True,False,2025-01-01,2025-11-17
PROD-2025-000049,CB2-HOM-0049,CB2 Tools Pro 2025,Home & Garden,Tools,CB2,639.11,417.26,270,4.29,3,2025-02-03,9.7,False,False,False,2025-01-01,2025-02-03
PROD-2025-000050,SON-ELE-0050,Sony Gaming Elite 2025,Electronics,Gaming,Sony,732.8,546.41,185,3.9,60,2025-01-20,9.91,False,False,False,2025-01-01,2025-01-20
PROD-2025-000051,SEP-HEA-0051,Sephora Supplements Smart 2025,Health & Beauty,Supplements,Sephora,307.47,193.02,322,5.0,245,2025-11-03,7.28,False,False,True,2025-01-01,2025-11-03
PROD-2025-000052,NIV-HEA-0052,Nivea Makeup Ultra 2025,Health & Beauty,Makeup,Nivea,102.73,81.91,84,4.37,58,2025-04-19,0.48,False,False,False,2025-01-01,2025-04-19
PROD-2025-000053,NIK-FAS-0053,Nike Accessories Classic 2025,Fashion,Accessories,Nike,67.15,40.92,352,3.57,52,2025-11-30,1.43,True,False,False,2025-01-01,2025-11-30
PROD-2025-000054,RAN-BOO-0054,Random House Non-Fiction Premium 2025,Books,Non-Fiction,Random House,28.19,17.06,324,4.12,16,2025-10-30,3.47,False,False,False,2025-01-01,2025-10-30
PROD-2025-000055,DEL-ELE-0055,Dell Headphones Elite 2025,Electronics,Headphones,Dell,1780.21,1165.98,96,4.14,7,2025-07-16,5.28,False,True,False,2025-01-01,2025-07-16
PROD-2025-000056,IKE-HOM-0056,IKEA Decor Advanced 2025,Home & Garden,Decor,IKEA,210.26,143.03,478,5.0,1,2025-05-02,8.34,True,False,False,2025-01-01,2025-05-02
PROD-2025-000057,PAT-SPO-0057,Patagonia Outdoor Premium 2025,Sports,Outdoor,Patagonia,958.5,634.6,52,4.38,17,2025-10-30,8.34,False,False,False,2025-01-01,2025-10-30
PROD-2025-000058,UND-SPO-0058,Under Armour Fitness Classic 2025,Sports,Fitness,Under Armour,709.4,550.71,225,4.14,61,2025-11-26,4.75,False,False,False,2025-01-01,2025-11-26
PROD-2025-000059,SON-ELE-0059,Sony Smartphones Ultra 2025,Electronics,Smartphones,Sony,2030.79,1381.34,81,5.0,125,2025-05-25,6.84,False,False,True,2025-01-01,2025-05-25
PROD-2025-000060,ZAR-FAS-0060,Zara Accessories Pro 2025,Fashion,Accessories,Zara,840.17,577.44,370,4.21,21,2025-10-05,4.38,False,False,False,2025-01-01,2025-10-05
PROD-2025-000061,DEL-ELE-0061,Dell Laptops Pro 2025,Electronics,Laptops,Dell,411.33,256.48,484,4.25,20,2025-05-15,7.31,False,False,False,2025-01-01,2025-05-15
PROD-2025-000062,ADI-SPO-0062,Adidas Water Sports Max 2025,Sports,Water Sports,Adidas,1202.13,948.14,158,4.74,43,2025-11-16,8.23,False,False,False,2025-01-01,2025-11-16
PROD-2025-000063,GUC-FAS-0063,Gucci Watches Ultra 2025,Fashion,Watches,Gucci,840.55,570.62,191,4.1,10,2025-11-13,4.04,False,False,False,2025-01-01,2025-11-13
PROD-2025-000064,SAM-ELE-0064,Samsung Tablets Smart 2025,Electronics,Tablets,Samsung,944.53,606.65,170,5.0,10,2025-09-06,0.83,False,False,False,2025-01-01,2025-09-06
PROD-2025-000065,RAN-BOO-0065,Random House Comics Ultra 2025,Books,Comics,Random House,27.78,17.35,28,3.59,52,2025-11-21,8.34,False,False,False,2025-01-01,2025-11-21
PROD-2025-000066,NOR-SPO-0066,North Face Outdoor Premium 2025,Sports,Outdoor,North Face,228.02,138.5,125,4.89,154,2025-09-16,7.3,False,False,True,2025-01-01,2025-09-16
PROD-2025-000067,ZAR-FAS-0067,Zara Accessories Ultra 2025,Fashion,Accessories,Zara,759.61,477.92,10,3.6,87,2025-02-27,9.79,False,False,False,2025-01-01,2025-02-27
PROD-2025-000068,IKE-HOM-0068,IKEA Lighting Ultra 2025,Home & Garden,Lighting,IKEA,21.04,12.99,350,5.0,5,2025-01-01,4.0,False,False,False,2025-01-01,2025-01-01
PROD-2025-000069,SAM-ELE-0069,Samsung Gaming Pro 2025,Electronics,Gaming,Samsung,3096.75,2169.34,140,4.77,83,2025-12-21,6.17,True,False,False,2025-01-01,2025-12-21
PROD-2025-000070,SEP-HEA-0070,Sephora Makeup Premium 2025,Health & Beauty,Makeup,Sephora,159.18,115.42,176,4.07,37,2025-02-10,1.84,False,False,False,2025-01-01,2025-02-10
PROD-2025-000071,MAR-BOO-0071,Marvel Comics Max 2025,Books,Comics,Marvel,63.51,42.74,217,3.2,87,2025-05-04,1.51,False,False,False,2025-01-01,2025-05-04
PROD-2025-000072,WES-HOM-0072,West Elm Lighting Max 2025,Home & Garden,Lighting,West Elm,1315.43,799.73,162,5.0,124,2025-01-13,4.28,False,False,True,2025-01-01,2025-01-13
PROD-2025-000073,DEL-ELE-0073,Dell Gaming Smart 2025,Electronics,Gaming,Dell,3062.13,2435.75,172,5.0,22,2025-12-06,2.59,False,False,False,2025-01-01,2025-12-06
PROD-2025-000074,APP-ELE-0074,Apple Tablets Elite 2025,Electronics,Tablets,Apple,2096.63,1452.79,29,4.5,48,2025-05-22,1.73,False,True,False,2025-01-01,2025-05-22
PROD-2025-000075,CLI-HEA-0075,Clinique Supplements Ultra 2025,Health & Beauty,Supplements,Clinique,317.11,245.42,448,4.22,78,2025-03-03,8.16,True,False,False,2025-01-01,2025-03-03
PROD-2025-000076,PEN-BOO-0076,Penguin Children Premium 2025,Books,Children,Penguin,62.66,46.54,251,4.21,58,2025-05-31,7.27,False,False,False,2025-01-01,2025-05-31
PROD-2025-000077,WES-HOM-0077,West Elm Tools Smart 2025,Home & Garden,Tools,West Elm,814.16,536.31,446,5.0,70,2025-11-01,0.57,True,False,False,2025-01-01,2025-11-01
PROD-2025-000078,SEP-HEA-0078,Sephora Supplements Elite 2025,Health & Beauty,Supplements,Sephora,116.73,89.5,49,4.17,46,2025-08-22,1.29,False,False,False,2025-01-01,2025-08-22
PROD-2025-000079,L'O-HEA-0079,L'Oreal Skincare Classic 2025,Health & Beauty,Skincare,L'Oreal,137.07,100.83,287,3.95,46,2025-05-16,3.65,True,False,False,2025-01-01,2025-05-16
PROD-2025-000080,REI-SPO-0080,REI Fitness Elite 2025,Sports,Fitness,REI,831.12,526.91,168,3.74,110,2025-04-28,9.75,True,False,False,2025-01-01,2025-04-28
PROD-2025-000081,NIV-HEA-0081,Nivea Skincare Premium 2025,Health & Beauty,Skincare,Nivea,60.74,40.36,380,4.09,75,2025-10-22,2.36,False,False,False,2025-01-01,2025-10-22
PROD-2025-000082,THE-HEA-0082,The Body Shop Wellness Ultra 2025,Health & Beauty,Wellness,The Body Shop,76.89,47.61,197,3.34,157,2025-12-31,4.07,False,False,False,2025-01-01,2025-12-31
PROD-2025-000083,HP-ELE-0083,HP Tablets Premium 2025,Electronics,Tablets,HP,459.01,342.08,467,3.73,33,2025-01-27,0.27,True,False,False,2025-01-01,2025-01-27
PROD-2025-000084,THE-HEA-0084,The Body Shop Skincare Pro 2025,Health & Beauty,Skincare,The Body Shop,38.94,25.18,161,3.52,0,2025-12-30,4.7,True,False,False,2025-01-01,2025-12-30
PROD-2025-000085,ZAR-FAS-0085,Zara Watches Ultra 2025,Fashion,Watches,Zara,241.71,177.35,488,4.36,102,2025-07-25,0.82,False,False,False,2025-01-01,2025-07-25
PROD-2025-000086,MAR-BOO-0086,Marvel Comics Advanced 2025,Books,Comics,Marvel,28.08,18.01,392,3.66,19,2025-02-22,6.49,False,False,False,2025-01-01,2025-02-22
PROD-2025-000087,ZAR-FAS-0087,Zara Accessories Ultra 2025,Fashion,Accessories,Zara,144.55,98.87,372,4.37,59,2025-03-19,9.82,True,False,False,2025-01-01,2025-03-19
PROD-2025-000088,LOW-HOM-0088,Lowes Furniture Max 2025,Home & Garden,Furniture,Lowes,1314.82,1031.7,230,3.91,57,2025-08-09,3.52,False,False,False,2025-01-01,2025-08-09
PROD-2025-000089,WIL-HOM-0089,Williams Sonoma Decor Classic 2025,Home & Garden,Decor,Williams Sonoma,1091.55,746.63,95,5.0,198,2025-05-12,2.26,False,False,True,2025-01-01,2025-05-12
PROD-2025-000090,NIV-HEA-0090,Nivea Makeup Classic 2025,Health & Beauty,Makeup,Nivea,110.02,72.57,143,4.79,15,2025-11-09,0.65,True,False,False,2025-01-01,2025-11-09
PROD-2025-000091,ADI-FAS-0091,Adidas Watches Ultra 2025,Fashion,Watches,Adidas,732.73,516.23,398,5.0,34,2025-09-27,2.22,True,False,False,2025-01-01,2025-09-27
PROD-2025-000092,SON-ELE-0092,Sony Tablets Pro 2025,Electronics,Tablets,Sony,3057.41,1963.55,425,4.0,4,2025-10-30,8.16,True,False,False,2025-01-01,2025-10-30
PROD-2025-000093,PEN-BOO-0093,Penguin Non-Fiction Elite 2025,Books,Non-Fiction,Penguin,21.16,15.7,383,3.84,27,2025-03-15,6.11,False,False,False,2025-01-01,2025-03-15
PROD-2025-000094,CB2-HOM-0094,CB2 Tools Smart 2025,Home & Garden,Tools,CB2,774.36,617.6,49,5.0,0,2025-11-27,6.32,False,False,False,2025-01-01,2025-11-27
PROD-2025-000095,SEP-HEA-0095,Sephora Personal Care Ultra 2025,Health & Beauty,Personal Care,Sephora,312.22,205.96,432,4.54,11,2025-01-16,5.11,False,False,False,2025-01-01,2025-01-16
PROD-2025-000096,RAN-BOO-0096,Random House Fiction Advanced 2025,Books,Fiction,Random House,9.91,7.18,248,4.1,12,2025-06-03,4.78,False,False,False,2025-01-01,2025-06-03
PROD-2025-000097,NOR-SPO-0097,North Face Water Sports Max 2025,Sports,Water Sports,North Face,150.64,90.86,221,4.46,167,2025-07-09,3.22,False,False,False,2025-01-01,2025-07-09
PROD-2025-000098,MAR-BOO-0098,Marvel Children Smart 2025,Books,Children,Marvel,20.43,12.82,481,5.0,46,2025-12-21,0.94,False,False,False,2025-01-01,2025-12-21
